X,Y,Date,ConfirmedCovidCases,TotalConfirmedCovidCases,ConfirmedCovidDeaths,TotalCovidDeaths,StatisticsProfileDate,CovidCasesConfirmed,HospitalisedCovidCases,RequiringICUCovidCases,HealthcareWorkersCovidCases,ClustersNotified,HospitalisedAged5,HospitalisedAged5to14,HospitalisedAged15to24,HospitalisedAged25to34,HospitalisedAged35to44,HospitalisedAged45to54,HospitalisedAged55to64,HospitalisedAged65up,Male,Female,Unknown,Aged1,Aged1to4,Aged5to14,Aged15to24,Aged25to34,Aged35to44,Aged45to54,Aged55to64,Aged65up,Median_Age,CommunityTransmission,CloseContact,TravelAbroad,FID
-7.692596,53.288234,2020/05/31 00:00:00+00,66,24990,2,1652,2020/05/29 00:00:00+00,24924,3283,408,7963,866,19,17,72,198,254,440,481,1799,10621,14269,34,46,107,309,1824,4185,4385,4476,3197,6372,48,39,59,2,91
-7.692596,53.288234,2020/06/01 00:00:00+00,77,25062,1,1650,2020/05/30 00:00:00+00,24985,3286,408,7968,866,19,17,72,198,254,442,481,1800,10661,14289,35,46,108,310,1830,4197,4399,4488,3204,6380,48,39,58,2,92
-7.692596,53.288234,2020/06/02 00:00:00+00,10,25066,8,1658,2020/05/31 00:00:00+00,25056,3292,408,7986,867,19,17,72,198,254,443,482,1804,10693,14332,31,47,109,318,1841,4205,4407,4502,3213,6391,48,39,58,2,93
-7.692596,53.288234,2020/06/03 00:00:00+00,47,25111,3,1659,2020/06/01 00:00:00+00,25064,3298,409,8004,872,19,17,72,197,255,443,484,1808,10697,14336,31,47,109,318,1842,4207,4407,4503,3213,6395,48,39,59,2,94
-7.692596,53.288234,2020/06/04 00:00:00+00,38,25142,5,1664,2020/06/02 00:00:00+00,25104,3311,410,8025,876,19,18,73,197,257,443,487,1814,10715,14358,31,47,109,319,1842,4209,4416,4511,3221,6407,48,39,59,2,95
-7.692596,53.288234,2020/06/05 00:00:00+00,28,25163,7,1670,2020/06/03 00:00:00+00,25135,3312,410,8046,880,20,18,73,196,257,443,488,1814,10734,14370,31,47,109,319,1847,4211,4424,4522,3227,6404,48,39,59,2,96
-7.692596,53.288234,2020/06/06 00:00:00+00,24,25183,9,1678,2020/06/04 00:00:00+00,25159,3319,410,8059,885,20,18,73,197,257,443,490,1818,10743,14384,32,49,111,321,1850,4216,4425,4524,3228,6411,48,39,59,2,97
-7.692596,53.288234,2020/06/07 00:00:00+00,25,25201,1,1679,2020/06/05 00:00:00+00,25176,3321,409,8057,888,20,17,73,197,258,443,490,1820,10751,14393,32,49,112,320,1854,4219,4430,4527,3226,6416,48,39,59,2,98
-7.692596,53.288234,2020/06/08 00:00:00+00,9,25207,4,1683,2020/06/06 00:00:00+00,25198,3322,411,8073,891,20,18,72,197,258,444,491,1819,10759,14406,33,49,113,321,1859,4222,4434,4530,3229,6417,48,39,59,2,99
-7.692596,53.288234,2020/06/09 00:00:00+00,9,25215,9,1691,2020/06/07 00:00:00+00,25206,3331,413,8087,892,20,18,72,199,260,445,490,1825,10766,14408,32,49,112,321,1859,4224,4437,4533,3229,6419,48,38,59,2,100
-7.692596,53.288234,2020/06/10 00:00:00+00,19,25231,5,1695,2020/06/08 00:00:00+00,25212,3321,411,8099,887,20,17,71,198,260,445,489,1819,10771,14409,32,49,112,320,1861,4223,4438,4535,3232,6419,48,38,60,2,101
-7.692596,53.288234,2020/06/11 00:00:00+00,8,25238,8,1703,2020/06/09 00:00:00+00,25230,3307,412,8114,901,20,17,69,198,261,444,490,1806,10777,14421,32,49,113,320,1866,4226,4441,4538,3232,6422,48,38,60,2,102
-7.692596,53.288234,2020/06/12 00:00:00+00,13,25250,3,1705,2020/06/10 00:00:00+00,25237,3275,415,8116,917,20,17,69,199,261,444,490,1773,10780,14425,32,50,113,320,1866,4228,4442,4539,3232,6424,48,38,60,2,103
-7.692596,53.288234,2020/06/13 00:00:00+00,46,25295,5,1705,2020/06/11 00:00:00+00,25249,3276,416,8123,941,20,17,69,199,261,444,490,1774,10784,14434,31,50,115,320,1867,4230,4443,4540,3232,6429,48,37,60,2,104
-7.692596,53.288234,2020/06/14 00:00:00+00,8,25303,1,1706,2020/06/12 00:00:00+00,25295,3279,416,8130,970,20,17,69,200,261,444,491,1775,10804,14460,31,51,116,323,1871,4239,4452,4548,3236,6436,48,37,60,2,105
-7.692596,53.288234,2020/06/15 00:00:00+00,18,25321,0,1706,2020/06/13 00:00:00+00,25303,3278,417,8130,976,20,17,69,200,261,444,491,1774,10808,14465,30,51,116,323,1873,4241,4452,4549,3236,6439,48,37,60,2,106
-7.692596,53.288234,2020/06/16 00:00:00+00,14,25334,3,1709,2020/06/14 00:00:00+00,25320,3282,418,8139,976,20,17,69,200,261,445,490,1778,10815,14475,30,52,117,324,1874,4242,4455,4553,3238,6442,48,37,60,2,107
-7.692596,53.288234,2020/06/17 00:00:00+00,8,25341,3,1710,2020/06/15 00:00:00+00,25333,3278,417,8144,981,21,16,70,199,262,444,487,1777,10820,14483,30,52,118,324,1874,4243,4458,4557,3238,6446,48,37,60,2,108
-7.692596,53.288234,2020/06/18 00:00:00+00,16,25355,4,1714,2020/06/16 00:00:00+00,25339,3282,417,8147,1005,21,16,70,199,262,445,487,1780,10822,14487,30,52,118,324,1875,4244,4459,4558,3239,6447,48,37,61,2,109
-7.692596,53.288234,2020/06/19 00:00:00+00,13,25368,2,1714,2020/06/17 00:00:00+00,25355,3286,416,8154,1031,21,16,70,200,262,445,488,1782,10831,14494,30,52,118,325,1877,4248,4462,4561,3240,6449,48,37,61,2,110
-7.692596,53.288234,2020/06/20 00:00:00+00,22,25374,2,1715,2020/06/18 00:00:00+00,25352,3280,419,8152,1033,21,16,70,197,263,443,488,1780,10835,14487,30,52,118,326,1878,4249,4464,4557,3240,6446,48,37,61,2,111
-7.692596,53.288234,2020/06/21 00:00:00+00,6,25379,0,1715,2020/06/19 00:00:00+00,25373,3282,419,8158,1036,21,16,70,197,263,444,488,1781,10845,14498,30,52,118,326,1883,4253,4467,4559,3243,6450,48,37,61,2,112
-7.692596,53.288234,2020/06/22 00:00:00+00,4,25383,2,1717,2020/06/20 00:00:00+00,25379,3284,431,8161,1069,21,16,70,197,264,444,489,1781,10847,14502,30,52,118,326,1883,4254,4469,4560,3243,6452,48,36,61,2,113
